Country,Locality,Latitude,Longitude,Microhabitat,CpipComplexIDMethod,Fig3A_PieShown,N,N_mm,N_pp,N_pm,Freq_mm,Freq_pp,Freq_pm,Freq_m,Freq_p,F_IS,PooledByAuthors,Reference,DOI_link,1stAuthor,Year
France,Saint-Nazaire de Pezan ,43.63,4.13,aboveground,adult morphology + ACE + COI ,,11,0,9,2,0.00,0.82,0.18,0.01,0.99,,unknown,S11,10.1186/s13071-016-1333-8,Shaikevich,2016
France,Cogolin,43.25,6.53,aboveground,adult morphology + ACE,,8,1,4,3,0.13,0.50,0.38,0.31,0.69,,no,S21,10.4269/ajtmh.2006.75.2.0750251,Bahnck,2006
France,Frejus,43.43,6.73,aboveground,adult morphology + ACE,,8,3,4,1,0.38,0.50,0.13,0.44,0.56,,no,S21,10.4269/ajtmh.2006.75.2.0750251,Bahnck,2006
Germany,Bobenheim-Roxheim,49.57,8.35,aboveground,adult morphology + ACE,,12,3,8,1,0.25,0.67,0.08,0.29,0.71,,no,S18,10.1371/journal.pone.0071832,Rudolf,2013
Germany,Dirmstein,49.57,8.23,aboveground,adult morphology + ACE,X,100,5,93,2,0.05,0.93,0.02,0.06,0.94,0.823,no,S18,10.1371/journal.pone.0071832,Rudolf,2013
Germany,Bad Dürkheim,49.37,8.13,aboveground,adult morphology + ACE,,19,1,18,0,0.05,0.95,0.00,0.05,0.95,,no,S18,10.1371/journal.pone.0071832,Rudolf,2013
Germany,Neustadt a. d. Weinstraße,49.37,8.13,aboveground,adult morphology + ACE,,37,2,35,0,0.05,0.95,0.00,0.05,0.95,1.000,no,S18,10.1371/journal.pone.0071832,Rudolf,2013
Germany,Langenlesten,53.05,10.73,aboveground,adult morphology + ACE,X,224,3,221,0,0.01,0.99,0.00,0.01,0.99,,no,S18,10.1371/journal.pone.0071832,Rudolf,2013
Germany,Stelle-Ashauen,53.35,10.10,aboveground,adult morphology + ACE,,15,0,15,0,0.00,1.00,0.00,0.00,1.00,,no,S18,10.1371/journal.pone.0071832,Rudolf,2013
Germany,Wulksfelde,53.72,10.10,aboveground,adult morphology + ACE,X,43,1,41,1,0.02,0.95,0.02,0.03,0.97,,no,S18,10.1371/journal.pone.0071832,Rudolf,2013
